#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0 q4,visible=0 q5,visible=0
1516722817.44 0 0.000 0.000 78500 0 5 0 0.038 0 0.000 7.403 37974016.000 341585920.000 1516722817.338 -1.000 78500 116000 216000 316000 616000 1216000
1516722817.54 136965 3.920 822281.915 78500 0 5 1 0.140 153784 10.000 7.507 38309888.000 341848064.000 1516722817.530 1516722817.525 78500 116000 216000 316000 616000 1216000
1516722817.64 135869 3.800 822281.915 78500 0 5 1 0.140 153784 10.000 7.507 38567936.000 341848064.000 1516722817.530 1516722817.525 78500 116000 216000 316000 616000 1216000
1516722817.74 261688 7.680 863766.817 1216000 5 5 1 0.140 294596 10.000 7.613 39108608.000 341848064.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722817.85 261688 7.680 863766.817 1216000 5 5 1 0.140 294596 0.000 7.617 39112704.000 341848064.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722817.95 261596 7.560 863766.817 1216000 5 5 1 0.140 294596 10.000 7.617 39129088.000 341848064.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722818.05 261432 7.400 863766.817 1216000 5 5 1 0.140 294596 0.000 7.625 39129088.000 342228992.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722818.15 261432 7.400 863766.817 1216000 5 5 1 0.140 294596 0.000 7.642 39170048.000 342228992.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722818.25 261227 7.240 863766.817 1216000 5 5 1 0.140 294596 0.000 7.663 39260160.000 342228992.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722818.35 261005 7.120 863766.817 1216000 5 5 1 0.140 294596 10.000 7.680 39366656.000 342228992.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722818.46 261005 7.120 863766.817 1216000 5 5 1 0.140 294596 0.000 7.696 39452672.000 342228992.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722818.56 260852 6.960 863766.817 1216000 5 5 1 0.140 294596 0.000 7.714 39538688.000 343113728.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722818.66 260607 6.800 863766.817 1216000 5 5 1 0.140 294596 9.091 7.731 39628800.000 343113728.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722818.76 260607 6.800 863766.817 1216000 5 5 1 0.140 294596 10.000 7.749 39718912.000 343113728.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722818.86 260245 6.640 863766.817 1216000 5 5 1 0.140 294596 0.000 7.767 39809024.000 343113728.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722818.97 258676 6.480 863766.817 1216000 5 5 1 0.140 294596 0.000 7.783 39899136.000 343113728.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722819.07 258676 6.480 863766.817 1216000 5 5 1 0.140 294596 10.000 7.800 39985152.000 343113728.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722819.17 250590 6.400 863766.817 1216000 5 5 1 0.140 294596 0.000 7.817 40071168.000 343113728.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722819.27 240253 6.280 863766.817 1216000 5 5 1 0.140 294596 0.000 7.834 40157184.000 343113728.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722819.37 232438 6.200 863766.817 1216000 5 5 1 0.140 294596 10.000 7.850 40312832.000 343183360.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722819.47 216807 6.080 863766.817 1216000 5 5 1 0.140 294596 0.000 7.867 40329216.000 343183360.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722819.58 204721 6.000 863766.817 1216000 5 5 1 0.140 294596 10.000 7.884 40415232.000 343183360.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722819.68 187491 5.840 863766.817 1216000 5 5 1 0.140 294596 0.000 7.901 40501248.000 343404544.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722819.78 181776 5.760 863766.817 1216000 5 5 1 0.140 294596 0.000 7.918 40591360.000 343404544.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722819.88 176466 5.640 863766.817 1216000 5 5 1 0.140 294596 0.000 7.935 40677376.000 343650304.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722819.98 171887 5.560 863766.817 1216000 5 5 1 0.140 294596 20.000 7.952 40763392.000 343650304.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722820.08 169643 5.400 863766.817 1216000 5 5 1 0.140 294596 0.000 7.969 40853504.000 343650304.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722820.19 167010 5.360 863766.817 1216000 5 5 1 0.140 294596 0.000 7.986 40939520.000 343920640.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722820.29 162585 5.160 863766.817 1216000 5 5 1 0.140 294596 10.000 8.007 41025536.000 343920640.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722820.39 162585 5.160 863766.817 1216000 5 5 1 0.140 294596 0.000 8.024 41136128.000 343920640.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722820.49 159845 5.000 863766.817 1216000 5 5 1 0.140 294596 0.000 8.042 41222144.000 344215552.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
1516722820.59 157617 4.960 863766.817 1216000 5 5 1 0.140 294596 9.091 8.058 41312256.000 344215552.000 1516722817.696 1516722817.693 78500 116000 216000 316000 616000 1216000
