#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0 q4,visible=0 q5,visible=0
1516718660.96 0 0.000 0.000 78500 0 5 0 0.093 0 0.000 7.382 37707776.000 341483520.000 1516718660.861 -1.000 78500 116000 216000 316000 616000 1216000
1516718661.06 0 0.000 0.000 78500 0 5 1 0.194 0 10.000 7.389 37937152.000 341651456.000 1516718660.861 -1.000 78500 116000 216000 316000 616000 1216000
1516718661.17 0 0.000 0.000 78500 0 5 0 0.194 0 0.000 7.397 37961728.000 341651456.000 1516718660.861 -1.000 78500 116000 216000 316000 616000 1216000
1516718661.27 0 0.000 0.000 78500 0 5 1 0.295 0 10.000 7.423 38002688.000 341651456.000 1516718660.861 -1.000 78500 116000 216000 316000 616000 1216000
1516718661.37 0 0.000 0.000 78500 0 5 0 0.295 0 0.000 7.428 38133760.000 341913600.000 1516718660.861 -1.000 78500 116000 216000 316000 616000 1216000
1516718661.47 0 0.000 0.000 78500 0 5 1 0.397 0 0.000 7.433 38158336.000 341913600.000 1516718660.861 -1.000 78500 116000 216000 316000 616000 1216000
1516718661.58 136965 3.920 244509.890 78500 0 5 1 0.397 153784 10.000 7.517 38449152.000 417415168.000 1516718661.499 1516718661.490 78500 116000 216000 316000 616000 1216000
1516718661.68 135869 3.800 244509.890 78500 0 5 1 0.397 153784 10.000 7.517 38617088.000 417415168.000 1516718661.499 1516718661.490 78500 116000 216000 316000 616000 1216000
1516718661.78 135780 3.640 244509.890 78500 0 5 1 0.397 153784 0.000 7.517 38617088.000 417415168.000 1516718661.499 1516718661.490 78500 116000 216000 316000 616000 1216000
1516718661.88 135688 3.520 244509.890 78500 0 5 1 0.397 153784 0.000 7.517 38617088.000 417415168.000 1516718661.499 1516718661.490 78500 116000 216000 316000 616000 1216000
1516718661.99 135524 3.360 244509.890 78500 0 5 1 0.397 153784 10.000 7.517 38617088.000 417415168.000 1516718661.499 1516718661.490 78500 116000 216000 316000 616000 1216000
1516718662.09 261432 7.400 250617.128 316000 3 5 1 0.397 294596 10.000 7.625 39157760.000 417415168.000 1516718662.071 1516718662.061 78500 116000 216000 316000 616000 1216000
1516718662.19 261227 7.240 250617.128 316000 3 5 1 0.397 294596 0.000 7.625 39170048.000 417415168.000 1516718662.071 1516718662.061 78500 116000 216000 316000 616000 1216000
1516718662.29 261227 7.240 250617.128 316000 3 5 1 0.397 294596 0.000 7.625 39170048.000 417415168.000 1516718662.071 1516718662.061 78500 116000 216000 316000 616000 1216000
1516718662.39 261005 7.120 250617.128 316000 3 5 1 0.397 294596 9.091 7.625 39170048.000 417415168.000 1516718662.071 1516718662.061 78500 116000 216000 316000 616000 1216000
1516718662.50 260852 6.960 250617.128 316000 3 5 1 0.397 294596 10.000 7.625 39170048.000 417415168.000 1516718662.071 1516718662.061 78500 116000 216000 316000 616000 1216000
1516718662.60 260607 6.800 250617.128 316000 3 5 1 0.397 294596 0.000 7.625 39170048.000 417415168.000 1516718662.071 1516718662.061 78500 116000 216000 316000 616000 1216000
1516718662.70 260607 6.800 250617.128 316000 3 5 1 0.397 294596 9.091 7.625 39170048.000 417415168.000 1516718662.071 1516718662.061 78500 116000 216000 316000 616000 1216000
1516718662.80 260245 6.640 250617.128 316000 3 5 1 0.397 294596 0.000 7.625 39170048.000 417415168.000 1516718662.071 1516718662.061 78500 116000 216000 316000 616000 1216000
1516718662.91 258676 6.480 250617.128 316000 3 5 1 0.397 294596 0.000 7.625 39170048.000 417415168.000 1516718662.071 1516718662.061 78500 116000 216000 316000 616000 1216000
1516718663.01 258676 6.480 250617.128 316000 3 5 1 0.397 294596 0.000 7.625 39170048.000 417415168.000 1516718662.071 1516718662.061 78500 116000 216000 316000 616000 1216000
1516718663.11 250590 6.400 250617.128 316000 3 5 1 0.397 294596 0.000 7.627 39170048.000 417415168.000 1516718662.071 1516718662.061 78500 116000 216000 316000 616000 1216000
1516718663.21 243858 6.320 250617.128 316000 3 5 1 0.397 294596 9.091 7.627 39182336.000 417415168.000 1516718662.071 1516718662.061 78500 116000 216000 316000 616000 1216000
1516718663.32 232438 6.200 250617.128 316000 3 5 1 0.397 294596 0.000 7.627 39182336.000 417415168.000 1516718662.071 1516718662.061 78500 116000 216000 316000 616000 1216000
1516718663.42 222353 6.120 250617.128 316000 3 5 1 0.397 294596 10.000 7.627 39182336.000 417415168.000 1516718662.071 1516718662.061 78500 116000 216000 316000 616000 1216000
1516718663.52 204721 6.000 250617.128 316000 3 5 1 0.397 294596 0.000 7.627 39182336.000 417415168.000 1516718662.071 1516718662.061 78500 116000 216000 316000 616000 1216000
1516718663.62 187491 5.840 250617.128 316000 3 5 1 0.397 294596 0.000 7.627 39182336.000 417415168.000 1516718662.071 1516718662.061 78500 116000 216000 316000 616000 1216000
1516718663.73 181776 5.760 250617.128 316000 3 5 1 0.397 294596 0.000 7.628 39182336.000 417415168.000 1516718662.071 1516718662.061 78500 116000 216000 316000 616000 1216000
1516718663.83 176466 5.640 250617.128 316000 3 5 1 0.397 294596 10.000 7.630 39186432.000 417415168.000 1516718662.071 1516718662.061 78500 116000 216000 316000 616000 1216000
1516718663.93 171887 5.560 250617.128 316000 3 5 1 0.397 294596 9.091 7.636 39198720.000 418013184.000 1516718662.071 1516718662.061 78500 116000 216000 316000 616000 1216000
1516718664.03 169643 5.400 250617.128 316000 3 5 1 0.397 294596 0.000 7.640 39227392.000 418013184.000 1516718662.071 1516718662.061 78500 116000 216000 316000 616000 1216000
1516718664.14 608458 9.400 231449.452 316000 3 5 1 0.397 756324 10.000 7.835 40054784.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718664.24 601400 9.160 231449.452 316000 3 5 1 0.397 756324 0.000 7.835 40251392.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718664.34 601400 9.160 231449.452 316000 3 5 1 0.397 756324 9.091 7.835 40251392.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718664.44 598660 9.000 231449.452 316000 3 5 1 0.397 756324 0.000 7.835 40251392.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718664.54 596432 8.960 231449.452 316000 3 5 1 0.397 756324 10.000 7.835 40251392.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718664.65 594882 8.840 231449.452 316000 3 5 1 0.397 756324 0.000 7.835 40251392.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718664.75 592545 8.720 231449.452 316000 3 5 1 0.397 756324 10.000 7.835 40251392.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718664.85 591742 8.560 231449.452 316000 3 5 1 0.397 756324 0.000 7.835 40251392.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718664.95 591742 8.560 231449.452 316000 3 5 1 0.397 756324 0.000 7.835 40251392.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718665.06 591141 8.360 231449.452 316000 3 5 1 0.397 756324 0.000 7.835 40251392.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718665.16 591141 8.360 231449.452 316000 3 5 1 0.397 756324 10.000 7.835 40251392.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718665.26 574673 8.200 231449.452 316000 3 5 1 0.397 756324 9.091 7.835 40251392.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718665.36 570508 8.080 231449.452 316000 3 5 1 0.397 756324 0.000 7.835 40251392.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718665.47 566576 8.000 231449.452 316000 3 5 1 0.397 756324 0.000 7.835 40251392.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718665.57 564566 7.960 231449.452 316000 3 5 1 0.397 756324 0.000 7.836 40251392.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718665.67 542165 7.800 231449.452 316000 3 5 1 0.397 756324 10.000 7.836 40255488.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718665.77 537535 7.640 231449.452 316000 3 5 1 0.397 756324 0.000 7.839 40255488.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718665.87 537535 7.640 231449.452 316000 3 5 1 0.397 756324 0.000 7.841 40271872.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718665.98 532875 7.480 231449.452 316000 3 5 1 0.397 756324 10.000 7.841 40280064.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718666.08 529765 7.360 231449.452 316000 3 5 1 0.397 756324 0.000 7.841 40280064.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718666.18 529765 7.360 231449.452 316000 3 5 1 0.397 756324 0.000 7.841 40280064.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718666.28 527547 7.240 231449.452 316000 3 5 1 0.397 756324 0.000 7.841 40280064.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718666.39 524838 7.080 231449.452 316000 3 5 1 0.397 756324 10.000 7.841 40280064.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718666.49 521582 6.920 231449.452 316000 3 5 1 0.397 756324 0.000 7.841 40280064.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718666.59 521582 6.920 231449.452 316000 3 5 1 0.397 756324 0.000 7.841 40280064.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
1516718666.69 518550 6.800 231449.452 316000 3 5 1 0.397 756324 0.000 7.841 40280064.000 418013184.000 1516718664.076 1516718664.066 78500 116000 216000 316000 616000 1216000
