#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0 q4,visible=0 q5,visible=0
1516724023.83 0 0.000 0.000 78500 0 5 0 0.040 0 0.000 7.394 37965824.000 341635072.000 1516724023.728 -1.000 78500 116000 216000 316000 616000 1216000
1516724023.94 0 0.000 0.000 78500 0 5 1 0.141 0 9.091 7.413 37998592.000 341635072.000 1516724023.728 -1.000 78500 116000 216000 316000 616000 1216000
1516724024.04 135869 3.800 692945.086 78500 0 5 1 0.141 153784 10.000 7.535 38617088.000 417419264.000 1516724023.955 1516724023.950 78500 116000 216000 316000 616000 1216000
1516724024.14 135869 3.800 692945.086 78500 0 5 1 0.141 153784 0.000 7.539 38711296.000 417419264.000 1516724023.955 1516724023.950 78500 116000 216000 316000 616000 1216000
1516724024.24 261688 7.680 746200.929 78500 0 5 1 0.141 294596 10.000 7.647 39268352.000 417419264.000 1516724024.156 1516724024.143 78500 116000 216000 316000 616000 1216000
1516724024.35 338372 11.520 906014.643 78500 0 5 1 0.141 385964 10.000 7.700 39555072.000 417419264.000 1516724024.266 1516724024.256 78500 116000 216000 316000 616000 1216000
1516724024.45 338208 11.360 906014.643 78500 0 5 1 0.141 385964 10.000 7.701 39563264.000 417419264.000 1516724024.266 1516724024.256 78500 116000 216000 316000 616000 1216000
1516724024.55 502880 15.400 711981.230 78500 0 5 1 0.141 567760 0.000 7.770 39833600.000 417419264.000 1516724024.526 1516724024.522 78500 116000 216000 316000 616000 1216000
1516724024.65 502675 15.240 711981.230 78500 0 5 1 0.141 567760 10.000 7.770 39915520.000 417419264.000 1516724024.526 1516724024.522 78500 116000 216000 316000 616000 1216000
1516724024.75 502675 15.240 711981.230 78500 0 5 1 0.141 567760 0.000 7.770 39915520.000 417419264.000 1516724024.526 1516724024.522 78500 116000 216000 316000 616000 1216000
1516724024.85 502453 15.120 711981.230 78500 0 5 1 0.141 567760 0.000 7.770 39915520.000 417419264.000 1516724024.526 1516724024.522 78500 116000 216000 316000 616000 1216000
1516724024.96 722222 18.920 626051.562 78500 0 5 1 0.141 803700 10.000 7.912 40456192.000 417689600.000 1516724024.910 1516724024.903 78500 116000 216000 316000 616000 1216000
1516724025.06 721977 18.760 626051.562 78500 0 5 1 0.141 803700 10.000 7.912 40648704.000 417689600.000 1516724024.910 1516724024.903 78500 116000 216000 316000 616000 1216000
1516724025.16 809988 22.800 682420.901 78500 0 5 1 0.141 905408 9.091 7.965 40919040.000 417689600.000 1516724025.068 1516724025.059 78500 116000 216000 316000 616000 1216000
1516724025.26 891285 26.640 777335.230 78500 0 5 1 0.141 1004484 0.000 8.070 41459712.000 417689600.000 1516724025.203 1516724025.196 78500 116000 216000 316000 616000 1216000
1516724025.36 987203 30.440 788846.566 78500 0 5 1 0.141 1115216 20.000 8.177 42000384.000 417689600.000 1516724025.352 1516724025.343 78500 116000 216000 316000 616000 1216000
1516724025.47 987203 30.440 788846.566 78500 0 5 1 0.141 1115216 10.000 8.177 42008576.000 417689600.000 1516724025.352 1516724025.343 78500 116000 216000 316000 616000 1216000
1516724025.57 1075259 34.360 630246.609 78500 0 5 1 0.141 1226324 0.000 8.231 42278912.000 417689600.000 1516724025.532 1516724025.529 78500 116000 216000 316000 616000 1216000
1516724025.67 1068527 34.280 630246.609 78500 0 5 1 0.141 1226324 0.000 8.231 42283008.000 417689600.000 1516724025.532 1516724025.529 78500 116000 216000 316000 616000 1216000
1516724025.77 1057107 34.160 630246.609 78500 0 5 1 0.141 1226324 10.000 8.231 42283008.000 417689600.000 1516724025.532 1516724025.529 78500 116000 216000 316000 616000 1216000
1516724025.87 1222052 38.080 689479.401 616000 4 5 1 0.141 1416392 9.091 8.337 42823680.000 417689600.000 1516724025.819 1516724025.808 78500 116000 216000 316000 616000 1216000
1516724025.97 1204420 37.960 689479.401 616000 4 5 1 0.141 1416392 0.000 8.337 42827776.000 417689600.000 1516724025.819 1516724025.808 78500 116000 216000 316000 616000 1216000
1516724026.08 1197209 37.880 689479.401 616000 4 5 1 0.141 1416392 0.000 8.337 42827776.000 417689600.000 1516724025.819 1516724025.808 78500 116000 216000 316000 616000 1216000
1516724026.18 1181475 37.720 689479.401 616000 4 5 1 0.141 1416392 10.000 8.337 42831872.000 417689600.000 1516724025.819 1516724025.808 78500 116000 216000 316000 616000 1216000
1516724026.28 1176165 37.600 689479.401 616000 4 5 1 0.141 1416392 0.000 8.337 42831872.000 417689600.000 1516724025.819 1516724025.808 78500 116000 216000 316000 616000 1216000
1516724026.38 1171586 37.520 689479.401 616000 4 5 1 0.141 1416392 0.000 8.337 42831872.000 417689600.000 1516724025.819 1516724025.808 78500 116000 216000 316000 616000 1216000
1516724026.48 1169342 37.360 689479.401 616000 4 5 1 0.141 1416392 10.000 8.338 42831872.000 417689600.000 1516724025.819 1516724025.808 78500 116000 216000 316000 616000 1216000
1516724026.58 1169342 37.360 689479.401 616000 4 5 1 0.141 1416392 0.000 8.346 42835968.000 417689600.000 1516724025.819 1516724025.808 78500 116000 216000 316000 616000 1216000
1516724026.69 1162284 37.120 689479.401 616000 4 5 1 0.141 1416392 10.000 8.365 42876928.000 418422784.000 1516724025.819 1516724025.808 78500 116000 216000 316000 616000 1216000
1516724026.79 1162284 37.120 689479.401 616000 4 5 1 0.141 1416392 0.000 8.377 42971136.000 418422784.000 1516724025.819 1516724025.808 78500 116000 216000 316000 616000 1216000
1516724026.89 1159544 36.960 689479.401 616000 4 5 1 0.141 1416392 10.000 8.395 43040768.000 418422784.000 1516724025.819 1516724025.808 78500 116000 216000 316000 616000 1216000
1516724026.99 1159544 36.960 689479.401 616000 4 5 1 0.141 1416392 9.091 8.408 43126784.000 418422784.000 1516724025.819 1516724025.808 78500 116000 216000 316000 616000 1216000
1516724027.10 1155766 36.800 689479.401 616000 4 5 1 0.141 1416392 0.000 8.424 43192320.000 418422784.000 1516724025.819 1516724025.808 78500 116000 216000 316000 616000 1216000
1516724027.20 1153429 36.680 689479.401 616000 4 5 1 0.141 1416392 0.000 8.437 43278336.000 418422784.000 1516724025.819 1516724025.808 78500 116000 216000 316000 616000 1216000
