#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0 q4,visible=0 q5,visible=0
1516719694.69 0 0.000 0.000 78500 0 5 0 0.135 0 0.000 7.381 37699584.000 341483520.000 1516719694.586 -1.000 78500 116000 216000 316000 616000 1216000
1516719694.79 0 0.000 0.000 78500 0 5 1 0.237 0 0.000 7.392 37933056.000 341630976.000 1516719694.586 -1.000 78500 116000 216000 316000 616000 1216000
1516719694.89 0 0.000 0.000 78500 0 5 0 0.237 0 0.000 7.392 37974016.000 341630976.000 1516719694.586 -1.000 78500 116000 216000 316000 616000 1216000
1516719694.99 0 0.000 0.000 78500 0 5 1 0.338 0 0.000 7.397 37974016.000 341630976.000 1516719694.586 -1.000 78500 116000 216000 316000 616000 1216000
1516719695.10 0 0.000 0.000 78500 0 5 0 0.338 0 10.000 7.405 37998592.000 341630976.000 1516719694.586 -1.000 78500 116000 216000 316000 616000 1216000
1516719695.20 0 0.000 0.000 78500 0 5 1 0.440 0 9.091 7.409 38039552.000 341630976.000 1516719694.586 -1.000 78500 116000 216000 316000 616000 1216000
1516719695.30 0 0.000 0.000 78500 0 5 0 0.440 0 0.000 7.413 38060032.000 341630976.000 1516719694.586 -1.000 78500 116000 216000 316000 616000 1216000
1516719695.40 0 0.000 0.000 78500 0 5 1 0.542 0 0.000 7.417 38084608.000 341630976.000 1516719694.586 -1.000 78500 116000 216000 316000 616000 1216000
1516719695.51 136965 3.920 179119.998 78500 0 5 1 0.542 153784 10.000 7.539 38637568.000 417435648.000 1516719695.453 1516719695.444 78500 116000 216000 316000 616000 1216000
1516719695.61 135869 3.800 179119.998 78500 0 5 1 0.542 153784 10.000 7.539 38731776.000 417435648.000 1516719695.453 1516719695.444 78500 116000 216000 316000 616000 1216000
1516719695.71 135780 3.640 179119.998 78500 0 5 1 0.542 153784 0.000 7.539 38731776.000 417435648.000 1516719695.453 1516719695.444 78500 116000 216000 316000 616000 1216000
1516719695.81 135780 3.640 179119.998 78500 0 5 1 0.542 153784 9.091 7.539 38731776.000 417435648.000 1516719695.453 1516719695.444 78500 116000 216000 316000 616000 1216000
