#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0 q4,visible=0 q5,visible=0
1516723851.56 0 0.000 0.000 78500 0 5 0 0.054 0 0.000 7.392 37961728.000 341647360.000 1516723851.460 -1.000 78500 116000 216000 316000 616000 1216000
1516723851.66 0 0.000 0.000 78500 0 5 1 0.155 0 0.000 7.425 37986304.000 341909504.000 1516723851.460 -1.000 78500 116000 216000 316000 616000 1216000
1516723851.77 136965 3.920 580728.986 78500 0 5 1 0.155 153784 10.000 7.551 38678528.000 417411072.000 1516723851.734 1516723851.725 78500 116000 216000 316000 616000 1216000
1516723851.87 135869 3.800 580728.986 78500 0 5 1 0.155 153784 0.000 7.551 38789120.000 417411072.000 1516723851.734 1516723851.725 78500 116000 216000 316000 616000 1216000
1516723851.97 261688 7.680 625995.219 78500 0 5 1 0.155 294596 10.000 7.661 39329792.000 417411072.000 1516723851.965 1516723851.959 78500 116000 216000 316000 616000 1216000
1516723852.07 261688 7.680 625995.219 78500 0 5 1 0.155 294596 0.000 7.661 39358464.000 417411072.000 1516723851.965 1516723851.959 78500 116000 216000 316000 616000 1216000
1516723852.17 338372 11.520 640648.711 78500 0 5 1 0.155 385964 10.000 7.715 39628800.000 417411072.000 1516723852.118 1516723852.108 78500 116000 216000 316000 616000 1216000
1516723852.27 338208 11.360 640648.711 78500 0 5 1 0.155 385964 0.000 7.716 39636992.000 417411072.000 1516723852.118 1516723852.108 78500 116000 216000 316000 616000 1216000
1516723852.38 338003 11.200 640648.711 78500 0 5 1 0.155 385964 10.000 7.716 39636992.000 417411072.000 1516723852.118 1516723852.108 78500 116000 216000 316000 616000 1216000
1516723852.48 502675 15.240 625083.158 78500 0 5 1 0.155 567760 10.000 7.768 39907328.000 417411072.000 1516723852.418 1516723852.409 78500 116000 216000 316000 616000 1216000
1516723852.58 502453 15.120 625083.158 78500 0 5 1 0.155 567760 0.000 7.768 39907328.000 417411072.000 1516723852.418 1516723852.409 78500 116000 216000 316000 616000 1216000
1516723852.68 502300 14.960 625083.158 78500 0 5 1 0.155 567760 9.091 7.769 39907328.000 417411072.000 1516723852.418 1516723852.409 78500 116000 216000 316000 616000 1216000
1516723852.79 502300 14.960 625083.158 78500 0 5 1 0.155 567760 0.000 7.769 39911424.000 417411072.000 1516723852.418 1516723852.409 78500 116000 216000 316000 616000 1216000
1516723852.89 721977 18.760 549560.224 78500 0 5 1 0.155 803700 20.000 7.911 40452096.000 417685504.000 1516723852.856 1516723852.847 78500 116000 216000 316000 616000 1216000
1516723852.99 721615 18.600 549560.224 78500 0 5 1 0.155 803700 0.000 7.911 40640512.000 417685504.000 1516723852.856 1516723852.847 78500 116000 216000 316000 616000 1216000
1516723853.09 809626 22.640 630700.213 78500 0 5 1 0.155 905408 9.091 7.964 40910848.000 417685504.000 1516723853.025 1516723853.018 78500 116000 216000 316000 616000 1216000
1516723853.20 808057 22.480 630700.213 78500 0 5 1 0.155 905408 0.000 7.964 40910848.000 417685504.000 1516723853.025 1516723853.018 78500 116000 216000 316000 616000 1216000
1516723853.30 884578 26.440 506469.107 78500 0 5 1 0.155 1004484 10.000 8.070 41451520.000 417685504.000 1516723853.228 1516723853.221 78500 116000 216000 316000 616000 1216000
1516723853.40 878427 26.360 506469.107 78500 0 5 1 0.155 1004484 9.091 8.070 41459712.000 417685504.000 1516723853.228 1516723853.221 78500 116000 216000 316000 616000 1216000
1516723853.50 964931 30.200 610137.085 78500 0 5 1 0.155 1115216 10.000 8.176 42000384.000 417685504.000 1516723853.418 1516723853.409 78500 116000 216000 316000 616000 1216000
1516723853.61 1051974 34.120 715939.435 78500 0 5 1 0.155 1226324 10.000 8.229 42274816.000 417685504.000 1516723853.580 1516723853.573 78500 116000 216000 316000 616000 1216000
1516723853.71 1035397 34.000 715939.435 78500 0 5 1 0.155 1226324 0.000 8.229 42274816.000 417685504.000 1516723853.580 1516723853.573 78500 116000 216000 316000 616000 1216000
1516723853.81 1022179 33.880 715939.435 78500 0 5 1 0.155 1226324 10.000 8.229 42274816.000 417685504.000 1516723853.580 1516723853.573 78500 116000 216000 316000 616000 1216000
1516723853.92 1187190 37.800 583113.025 316000 3 5 1 0.155 1416392 0.000 8.336 42815488.000 417685504.000 1516723853.580 1516723853.906 78500 116000 216000 316000 616000 1216000
1516723854.02 1176165 37.600 583113.025 316000 3 5 1 0.155 1416392 10.000 8.336 42823680.000 417685504.000 1516723853.917 1516723853.906 78500 116000 216000 316000 616000 1216000
1516723854.12 1176165 37.600 583113.025 316000 3 5 1 0.155 1416392 0.000 8.336 42823680.000 417685504.000 1516723853.917 1516723853.906 78500 116000 216000 316000 616000 1216000
1516723854.22 1169342 37.360 583113.025 316000 3 5 1 0.155 1416392 0.000 8.336 42823680.000 417685504.000 1516723853.917 1516723853.906 78500 116000 216000 316000 616000 1216000
1516723854.32 1169342 37.360 583113.025 316000 3 5 1 0.155 1416392 10.000 8.336 42823680.000 417685504.000 1516723853.917 1516723853.906 78500 116000 216000 316000 616000 1216000
1516723854.42 1164558 37.280 583113.025 316000 3 5 1 0.155 1416392 0.000 8.336 42823680.000 417685504.000 1516723853.917 1516723853.906 78500 116000 216000 316000 616000 1216000
1516723854.53 1162284 37.120 583113.025 316000 3 5 1 0.155 1416392 10.000 8.336 42823680.000 417685504.000 1516723853.917 1516723853.906 78500 116000 216000 316000 616000 1216000
1516723854.63 1159544 36.960 583113.025 316000 3 5 1 0.155 1416392 0.000 8.337 42827776.000 417685504.000 1516723853.917 1516723853.906 78500 116000 216000 316000 616000 1216000
1516723854.73 1159544 36.960 583113.025 316000 3 5 1 0.155 1416392 0.000 8.338 42831872.000 417685504.000 1516723853.917 1516723853.906 78500 116000 216000 316000 616000 1216000
1516723854.83 1156510 36.880 583113.025 316000 3 5 1 0.155 1416392 10.000 8.351 42835968.000 417685504.000 1516723853.917 1516723853.906 78500 116000 216000 316000 616000 1216000
1516723854.93 1675833 40.800 552646.468 316000 3 5 1 0.155 1963848 9.091 8.625 44249088.000 418357248.000 1516723854.917 1516723854.907 78500 116000 216000 316000 616000 1216000
1516723855.03 1673496 40.680 552646.468 316000 3 5 1 0.155 1963848 0.000 8.625 44310528.000 418357248.000 1516723854.917 1516723854.907 78500 116000 216000 316000 616000 1216000
1516723855.14 1672693 40.520 552646.468 316000 3 5 1 0.155 1963848 0.000 8.625 44310528.000 418357248.000 1516723854.917 1516723854.907 78500 116000 216000 316000 616000 1216000
1516723855.24 1672411 40.480 552646.468 316000 3 5 1 0.155 1963848 10.000 8.626 44310528.000 418357248.000 1516723854.917 1516723854.907 78500 116000 216000 316000 616000 1216000
1516723855.34 1672092 40.320 552646.468 316000 3 5 1 0.155 1963848 10.000 8.626 44314624.000 418357248.000 1516723854.917 1516723854.907 78500 116000 216000 316000 616000 1216000
1516723855.44 1655624 40.160 552646.468 316000 3 5 1 0.155 1963848 0.000 8.626 44314624.000 418357248.000 1516723854.917 1516723854.907 78500 116000 216000 316000 616000 1216000
1516723855.55 1655624 40.160 552646.468 316000 3 5 1 0.155 1963848 0.000 8.626 44314624.000 418357248.000 1516723854.917 1516723854.907 78500 116000 216000 316000 616000 1216000
1516723855.65 1651459 40.040 552646.468 316000 3 5 1 0.155 1963848 10.000 8.626 44314624.000 418357248.000 1516723854.917 1516723854.907 78500 116000 216000 316000 616000 1216000
1516723855.75 2113604 44.000 618794.304 316000 3 5 1 0.155 2451896 10.000 8.792 45125632.000 418357248.000 1516723854.917 1516723855.706 78500 116000 216000 316000 616000 1216000
1516723855.85 2089193 43.800 618794.304 316000 3 5 1 0.155 2451896 0.000 8.792 45166592.000 418357248.000 1516723854.917 1516723855.706 78500 116000 216000 316000 616000 1216000
1516723855.96 2089193 43.800 618794.304 316000 3 5 1 0.155 2451896 10.000 8.792 45166592.000 418357248.000 1516723854.917 1516723855.706 78500 116000 216000 316000 616000 1216000
1516723856.06 2084563 43.640 618794.304 316000 3 5 1 0.155 2451896 0.000 8.792 45166592.000 418357248.000 1516723854.917 1516723855.706 78500 116000 216000 316000 616000 1216000
1516723856.16 2079903 43.480 618794.304 316000 3 5 1 0.155 2451896 0.000 8.792 45166592.000 418357248.000 1516723854.917 1516723855.706 78500 116000 216000 316000 616000 1216000
1516723856.26 2079903 43.480 618794.304 316000 3 5 1 0.155 2451896 0.000 8.792 45166592.000 418357248.000 1516723854.917 1516723855.706 78500 116000 216000 316000 616000 1216000
1516723856.36 2076793 43.360 618794.304 316000 3 5 1 0.155 2451896 10.000 8.792 45166592.000 418357248.000 1516723854.917 1516723855.706 78500 116000 216000 316000 616000 1216000
1516723856.47 2074575 43.240 618794.304 316000 3 5 1 0.155 2451896 0.000 8.792 45166592.000 418357248.000 1516723854.917 1516723855.706 78500 116000 216000 316000 616000 1216000
1516723856.57 2071866 43.080 618794.304 316000 3 5 1 0.155 2451896 0.000 8.793 45166592.000 418357248.000 1516723854.917 1516723855.706 78500 116000 216000 316000 616000 1216000
1516723856.67 2071866 43.080 618794.304 316000 3 5 1 0.155 2451896 0.000 8.793 45170688.000 418357248.000 1516723854.917 1516723855.706 78500 116000 216000 316000 616000 1216000
1516723856.77 2068610 42.920 618794.304 316000 3 5 1 0.155 2451896 10.000 8.793 45170688.000 418357248.000 1516723854.917 1516723855.706 78500 116000 216000 316000 616000 1216000
1516723856.88 2065578 42.800 618794.304 316000 3 5 1 0.155 2451896 0.000 8.793 45170688.000 418357248.000 1516723854.917 1516723855.706 78500 116000 216000 316000 616000 1216000
