#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0 q4,visible=0 q5,visible=0
1516715216.66 0 0.000 0.000 78500 0 5 0 0.492 0 0.000 7.369 37703680.000 341409792.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715216.76 0 0.000 0.000 78500 0 5 1 0.594 0 9.091 7.374 37879808.000 341553152.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715216.86 0 0.000 0.000 78500 0 5 0 0.594 0 0.000 7.374 37879808.000 341553152.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715216.97 0 0.000 0.000 78500 0 5 1 0.695 0 10.000 7.374 37879808.000 341553152.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715217.07 0 0.000 0.000 78500 0 5 0 0.695 0 0.000 7.384 37879808.000 341553152.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715217.17 0 0.000 0.000 78500 0 5 1 0.797 0 10.000 7.385 37937152.000 341553152.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715217.27 0 0.000 0.000 78500 0 5 0 0.797 0 0.000 7.385 37937152.000 341553152.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715217.37 0 0.000 0.000 78500 0 5 1 0.899 0 10.000 7.385 37937152.000 341553152.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715217.48 0 0.000 0.000 78500 0 5 0 0.899 0 0.000 7.393 37937152.000 341553152.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715217.58 0 0.000 0.000 78500 0 5 1 1.001 0 10.000 7.393 37978112.000 341553152.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715217.68 0 0.000 0.000 78500 0 5 0 1.001 0 0.000 7.393 37978112.000 341553152.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715217.78 0 0.000 0.000 78500 0 5 1 1.103 0 0.000 7.393 37978112.000 341553152.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715217.88 0 0.000 0.000 78500 0 5 0 1.103 0 10.000 7.397 37978112.000 341696512.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715217.99 0 0.000 0.000 78500 0 5 1 1.205 0 0.000 7.397 38002688.000 341696512.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715218.09 0 0.000 0.000 78500 0 5 0 1.205 0 0.000 7.397 38002688.000 341696512.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715218.19 0 0.000 0.000 78500 0 5 1 1.306 0 0.000 7.397 38002688.000 341696512.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715218.29 0 0.000 0.000 78500 0 5 0 1.306 0 10.000 7.397 38002688.000 341696512.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715218.39 0 0.000 0.000 78500 0 5 1 1.407 0 0.000 7.405 38002688.000 341696512.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715218.50 0 0.000 0.000 78500 0 5 0 1.407 0 0.000 7.405 38043648.000 341696512.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715218.60 0 0.000 0.000 78500 0 5 1 1.509 0 9.091 7.405 38043648.000 341696512.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715218.70 0 0.000 0.000 78500 0 5 0 1.509 0 0.000 7.405 38043648.000 341696512.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715218.81 0 0.000 0.000 78500 0 5 1 1.611 0 10.000 7.409 38043648.000 341696512.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715218.91 0 0.000 0.000 78500 0 5 0 1.611 0 0.000 7.409 38064128.000 341696512.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715219.01 0 0.000 0.000 78500 0 5 1 1.712 0 0.000 7.409 38064128.000 341696512.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715219.11 0 0.000 0.000 78500 0 5 0 1.712 0 10.000 7.409 38064128.000 341696512.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715219.22 0 0.000 0.000 78500 0 5 1 1.814 0 0.000 7.414 38064128.000 341696512.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715219.32 0 0.000 0.000 78500 0 5 0 1.814 0 0.000 7.414 38088704.000 341696512.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715219.42 0 0.000 0.000 78500 0 5 1 1.915 0 9.091 7.414 38088704.000 341696512.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715219.53 0 0.000 0.000 78500 0 5 0 1.915 0 10.000 7.414 38088704.000 341696512.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715219.63 0 0.000 0.000 78500 0 5 1 2.017 0 0.000 7.418 38088704.000 341696512.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
1516715219.73 0 0.000 0.000 78500 0 5 0 2.017 0 0.000 7.418 38109184.000 341696512.000 1516715216.554 -1.000 78500 116000 216000 316000 616000 1216000
