#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0 q4,visible=0 q5,visible=0
1516722128.10 0 0.000 0.000 78500 0 5 0 0.051 0 0.000 7.390 37695488.000 341635072.000 1516722128.000 -1.000 78500 116000 216000 316000 616000 1216000
1516722128.21 0 0.000 0.000 78500 0 5 1 0.153 0 0.000 7.405 37978112.000 341635072.000 1516722128.000 -1.000 78500 116000 216000 316000 616000 1216000
1516722128.31 136965 3.920 521835.913 78500 0 5 1 0.153 153784 10.000 7.499 38309888.000 417419264.000 1516722128.303 1516722128.294 78500 116000 216000 316000 616000 1216000
1516722128.41 135869 3.800 521835.913 78500 0 5 1 0.153 153784 10.000 7.499 38526976.000 417419264.000 1516722128.303 1516722128.294 78500 116000 216000 316000 616000 1216000
1516722128.51 135780 3.640 521835.913 78500 0 5 1 0.153 153784 0.000 7.503 38526976.000 417419264.000 1516722128.303 1516722128.294 78500 116000 216000 316000 616000 1216000
1516722128.61 261688 7.680 532356.310 616000 4 5 1 0.153 294596 10.000 7.609 39084032.000 417419264.000 1516722128.572 1516722128.568 78500 116000 216000 316000 616000 1216000
1516722128.71 261596 7.560 532356.310 616000 4 5 1 0.153 294596 0.000 7.609 39088128.000 417419264.000 1516722128.572 1516722128.568 78500 116000 216000 316000 616000 1216000
1516722128.82 261432 7.400 532356.310 616000 4 5 1 0.153 294596 0.000 7.609 39088128.000 417419264.000 1516722128.572 1516722128.568 78500 116000 216000 316000 616000 1216000
1516722128.92 261432 7.400 532356.310 616000 4 5 1 0.153 294596 0.000 7.609 39088128.000 417419264.000 1516722128.572 1516722128.568 78500 116000 216000 316000 616000 1216000
1516722129.02 261227 7.240 532356.310 616000 4 5 1 0.153 294596 10.000 7.610 39088128.000 417419264.000 1516722128.572 1516722128.568 78500 116000 216000 316000 616000 1216000
1516722129.12 261005 7.120 532356.310 616000 4 5 1 0.153 294596 0.000 7.616 39092224.000 417419264.000 1516722128.572 1516722128.568 78500 116000 216000 316000 616000 1216000
1516722129.22 261005 7.120 532356.310 616000 4 5 1 0.153 294596 0.000 7.625 39124992.000 417419264.000 1516722128.572 1516722128.568 78500 116000 216000 316000 616000 1216000
1516722129.32 260852 6.960 532356.310 616000 4 5 1 0.153 294596 0.000 7.638 39170048.000 417959936.000 1516722128.572 1516722128.568 78500 116000 216000 316000 616000 1216000
1516722129.43 260607 6.800 532356.310 616000 4 5 1 0.153 294596 10.000 7.652 39239680.000 417959936.000 1516722128.572 1516722128.568 78500 116000 216000 316000 616000 1216000
1516722129.53 260607 6.800 532356.310 616000 4 5 1 0.153 294596 0.000 7.660 39309312.000 417959936.000 1516722128.572 1516722128.568 78500 116000 216000 316000 616000 1216000
1516722129.63 260245 6.640 532356.310 616000 4 5 1 0.153 294596 10.000 7.672 39350272.000 417959936.000 1516722128.572 1516722128.568 78500 116000 216000 316000 616000 1216000
1516722129.73 258676 6.480 532356.310 616000 4 5 1 0.153 294596 0.000 7.685 39415808.000 417959936.000 1516722128.572 1516722128.568 78500 116000 216000 316000 616000 1216000
1516722129.84 258676 6.480 532356.310 616000 4 5 1 0.153 294596 0.000 7.698 39481344.000 417959936.000 1516722128.572 1516722128.568 78500 116000 216000 316000 616000 1216000
1516722129.94 250590 6.400 532356.310 616000 4 5 1 0.153 294596 10.000 7.707 39546880.000 417959936.000 1516722128.572 1516722128.568 78500 116000 216000 316000 616000 1216000
1516722130.04 240253 6.280 532356.310 616000 4 5 1 0.153 294596 0.000 7.719 39591936.000 417959936.000 1516722128.572 1516722128.568 78500 116000 216000 316000 616000 1216000
1516722130.14 232438 6.200 532356.310 616000 4 5 1 0.153 294596 0.000 7.894 40460288.000 418922496.000 1516722128.572 1516722128.568 78500 116000 216000 316000 616000 1216000
1516722130.24 216807 6.080 532356.310 616000 4 5 1 0.153 294596 10.000 7.902 40554496.000 418922496.000 1516722128.572 1516722128.568 78500 116000 216000 316000 616000 1216000
1516722130.35 197510 5.920 532356.310 616000 4 5 1 0.153 294596 10.000 7.915 40620032.000 419045376.000 1516722128.572 1516722128.568 78500 116000 216000 316000 616000 1216000
1516722130.45 187491 5.840 532356.310 616000 4 5 1 0.153 294596 0.000 7.928 40660992.000 419045376.000 1516722128.572 1516722128.568 78500 116000 216000 316000 616000 1216000
1516722130.55 1208673 9.760 554942.090 616000 4 5 1 0.153 1355668 20.000 8.013 41164800.000 418136064.000 1516722130.495 1516722130.484 78500 116000 216000 316000 616000 1216000
1516722130.65 1203363 9.640 554942.090 616000 4 5 1 0.153 1355668 0.000 8.013 41164800.000 418136064.000 1516722130.495 1516722130.484 78500 116000 216000 316000 616000 1216000
1516722130.76 1198784 9.560 554942.090 616000 4 5 1 0.153 1355668 0.000 8.013 41164800.000 418136064.000 1516722130.495 1516722130.484 78500 116000 216000 316000 616000 1216000
1516722130.86 1196540 9.400 554942.090 616000 4 5 1 0.153 1355668 0.000 8.013 41164800.000 418136064.000 1516722130.495 1516722130.484 78500 116000 216000 316000 616000 1216000
1516722130.96 1193907 9.360 554942.090 616000 4 5 1 0.153 1355668 9.091 8.013 41164800.000 418136064.000 1516722130.495 1516722130.484 78500 116000 216000 316000 616000 1216000
1516722131.06 1189482 9.160 554942.090 616000 4 5 1 0.153 1355668 0.000 8.013 41164800.000 418136064.000 1516722130.495 1516722130.484 78500 116000 216000 316000 616000 1216000
