#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0 q4,visible=0 q5,visible=0
1516718833.27 0 0.000 0.000 78500 0 5 0 0.119 0 0.000 7.389 37695488.000 341630976.000 1516718833.172 -1.000 78500 116000 216000 316000 616000 1216000
1516718833.38 0 0.000 0.000 78500 0 5 1 0.220 0 10.000 7.397 37974016.000 341630976.000 1516718833.172 -1.000 78500 116000 216000 316000 616000 1216000
1516718833.48 0 0.000 0.000 78500 0 5 0 0.220 0 0.000 7.405 37998592.000 341630976.000 1516718833.172 -1.000 78500 116000 216000 316000 616000 1216000
1516718833.58 0 0.000 0.000 78500 0 5 1 0.321 0 9.091 7.413 38039552.000 341630976.000 1516718833.172 -1.000 78500 116000 216000 316000 616000 1216000
1516718833.68 0 0.000 0.000 78500 0 5 0 0.321 0 0.000 7.417 38084608.000 341630976.000 1516718833.172 -1.000 78500 116000 216000 316000 616000 1216000
1516718833.79 136965 3.920 297436.737 78500 0 5 1 0.423 153784 0.000 7.507 38371328.000 341934080.000 1516718833.692 1516718833.689 78500 116000 216000 316000 616000 1216000
1516718833.89 135869 3.800 297436.737 78500 0 5 1 0.423 153784 0.000 7.507 38563840.000 341934080.000 1516718833.692 1516718833.689 78500 116000 216000 316000 616000 1216000
1516718833.99 135780 3.640 297436.737 78500 0 5 1 0.423 153784 20.000 7.507 38563840.000 341934080.000 1516718833.692 1516718833.689 78500 116000 216000 316000 616000 1216000
1516718834.09 135780 3.640 297436.737 78500 0 5 1 0.423 153784 0.000 7.507 38563840.000 341934080.000 1516718833.692 1516718833.689 78500 116000 216000 316000 616000 1216000
1516718834.20 261596 7.560 282077.686 316000 3 5 1 0.423 294596 9.091 7.616 39104512.000 341934080.000 1516718833.692 1516718834.191 78500 116000 216000 316000 616000 1216000
1516718834.30 261432 7.400 282077.686 316000 3 5 1 0.423 294596 0.000 7.616 39124992.000 341934080.000 1516718834.201 1516718834.191 78500 116000 216000 316000 616000 1216000
1516718834.40 261432 7.400 282077.686 316000 3 5 1 0.423 294596 10.000 7.616 39124992.000 341934080.000 1516718834.201 1516718834.191 78500 116000 216000 316000 616000 1216000
1516718834.51 261227 7.240 282077.686 316000 3 5 1 0.423 294596 0.000 7.617 39124992.000 341934080.000 1516718834.201 1516718834.191 78500 116000 216000 316000 616000 1216000
1516718834.61 261005 7.120 282077.686 316000 3 5 1 0.423 294596 0.000 7.617 39129088.000 341934080.000 1516718834.201 1516718834.191 78500 116000 216000 316000 616000 1216000
1516718834.71 260852 6.960 282077.686 316000 3 5 1 0.423 294596 0.000 7.617 39129088.000 341934080.000 1516718834.201 1516718834.191 78500 116000 216000 316000 616000 1216000
1516718834.81 260852 6.960 282077.686 316000 3 5 1 0.423 294596 9.091 7.617 39129088.000 341934080.000 1516718834.201 1516718834.191 78500 116000 216000 316000 616000 1216000
1516718834.92 260607 6.800 282077.686 316000 3 5 1 0.423 294596 0.000 7.617 39129088.000 341934080.000 1516718834.201 1516718834.191 78500 116000 216000 316000 616000 1216000
1516718835.02 260607 6.800 282077.686 316000 3 5 1 0.423 294596 10.000 7.617 39129088.000 341934080.000 1516718834.201 1516718834.191 78500 116000 216000 316000 616000 1216000
1516718835.12 260245 6.640 282077.686 316000 3 5 1 0.423 294596 0.000 7.620 39129088.000 341934080.000 1516718834.201 1516718834.191 78500 116000 216000 316000 616000 1216000
1516718835.22 258676 6.480 282077.686 316000 3 5 1 0.423 294596 0.000 7.625 39145472.000 341934080.000 1516718834.201 1516718834.191 78500 116000 216000 316000 616000 1216000
1516718835.33 258676 6.480 282077.686 316000 3 5 1 0.423 294596 10.000 7.633 39170048.000 341934080.000 1516718834.201 1516718834.191 78500 116000 216000 316000 616000 1216000
1516718835.43 247387 6.360 282077.686 316000 3 5 1 0.423 294596 10.000 7.638 39211008.000 342429696.000 1516718834.201 1516718834.191 78500 116000 216000 316000 616000 1216000
1516718835.53 240253 6.280 282077.686 316000 3 5 1 0.423 294596 0.000 7.647 39239680.000 342429696.000 1516718834.201 1516718834.191 78500 116000 216000 316000 616000 1216000
1516718835.63 227305 6.160 282077.686 316000 3 5 1 0.423 294596 0.000 7.651 39284736.000 342429696.000 1516718834.201 1516718834.191 78500 116000 216000 316000 616000 1216000
1516718835.74 216807 6.080 282077.686 316000 3 5 1 0.423 294596 10.000 7.655 39305216.000 342429696.000 1516718834.201 1516718834.191 78500 116000 216000 316000 616000 1216000
1516718835.84 636325 9.920 287557.886 316000 3 5 1 0.423 756324 0.000 7.854 40132608.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718835.94 626306 9.840 287557.886 316000 3 5 1 0.423 756324 0.000 7.854 40349696.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718836.04 620591 9.760 287557.886 316000 3 5 1 0.423 756324 20.000 7.854 40349696.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718836.15 615281 9.640 287557.886 316000 3 5 1 0.423 756324 0.000 7.854 40349696.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718836.25 610702 9.560 287557.886 316000 3 5 1 0.423 756324 0.000 7.854 40349696.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718836.35 608458 9.400 287557.886 316000 3 5 1 0.423 756324 10.000 7.854 40349696.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718836.45 605825 9.360 287557.886 316000 3 5 1 0.423 756324 0.000 7.854 40349696.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718836.56 601400 9.160 287557.886 316000 3 5 1 0.423 756324 10.000 7.854 40349696.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718836.66 601400 9.160 287557.886 316000 3 5 1 0.423 756324 0.000 7.854 40349696.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718836.76 598660 9.000 287557.886 316000 3 5 1 0.423 756324 0.000 7.854 40349696.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718836.86 596432 8.960 287557.886 316000 3 5 1 0.423 756324 0.000 7.854 40349696.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718836.97 594882 8.840 287557.886 316000 3 5 1 0.423 756324 10.000 7.854 40349696.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718837.07 592545 8.720 287557.886 316000 3 5 1 0.423 756324 10.000 7.854 40349696.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718837.17 591742 8.560 287557.886 316000 3 5 1 0.423 756324 0.000 7.854 40349696.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718837.27 591460 8.520 287557.886 316000 3 5 1 0.423 756324 0.000 7.854 40349696.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718837.37 591141 8.360 287557.886 316000 3 5 1 0.423 756324 0.000 7.855 40349696.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718837.48 574673 8.200 287557.886 316000 3 5 1 0.423 756324 0.000 7.859 40353792.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718837.58 574673 8.200 287557.886 316000 3 5 1 0.423 756324 10.000 7.865 40374272.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718837.68 570508 8.080 287557.886 316000 3 5 1 0.423 756324 0.000 7.865 40402944.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718837.78 566576 8.000 287557.886 316000 3 5 1 0.423 756324 0.000 7.865 40402944.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718837.89 542165 7.800 287557.886 316000 3 5 1 0.423 756324 10.000 7.865 40402944.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718837.99 542165 7.800 287557.886 316000 3 5 1 0.423 756324 10.000 7.865 40402944.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718838.09 537535 7.640 287557.886 316000 3 5 1 0.423 756324 0.000 7.865 40402944.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718838.19 532875 7.480 287557.886 316000 3 5 1 0.423 756324 0.000 7.865 40402944.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718838.30 532875 7.480 287557.886 316000 3 5 1 0.423 756324 0.000 7.865 40402944.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718838.40 529765 7.360 287557.886 316000 3 5 1 0.423 756324 10.000 7.865 40402944.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718838.50 527547 7.240 287557.886 316000 3 5 1 0.423 756324 0.000 7.865 40402944.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718838.61 524838 7.080 287557.886 316000 3 5 1 0.423 756324 0.000 7.865 40402944.000 342667264.000 1516718835.816 1516718835.807 78500 116000 216000 316000 616000 1216000
1516718838.71 1348542 11.080 304161.015 316000 3 5 1 0.423 1612852 20.000 8.076 41488384.000 342667264.000 1516718838.636 1516718838.632 78500 116000 216000 316000 616000 1216000
1516718838.81 1345286 10.920 304161.015 316000 3 5 1 0.423 1612852 0.000 8.077 41492480.000 342667264.000 1516718838.636 1516718838.632 78500 116000 216000 316000 616000 1216000
1516718838.91 1342254 10.800 304161.015 316000 3 5 1 0.423 1612852 0.000 8.077 41492480.000 342667264.000 1516718838.636 1516718838.632 78500 116000 216000 316000 616000 1216000
1516718839.01 1342254 10.800 304161.015 316000 3 5 1 0.423 1612852 0.000 8.077 41492480.000 342667264.000 1516718838.636 1516718838.632 78500 116000 216000 316000 616000 1216000
1516718839.12 1340015 10.680 304161.015 316000 3 5 1 0.423 1612852 10.000 8.077 41492480.000 342667264.000 1516718838.636 1516718838.632 78500 116000 216000 316000 616000 1216000
1516718839.22 1337636 10.520 304161.015 316000 3 5 1 0.423 1612852 10.000 8.077 41492480.000 342667264.000 1516718838.636 1516718838.632 78500 116000 216000 316000 616000 1216000
