#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0 q4,visible=0 q5,visible=0
1516723334.69 0 0.000 0.000 78500 0 5 0 0.072 0 0.000 7.396 37974016.000 341639168.000 1516723334.583 -1.000 78500 116000 216000 316000 616000 1216000
1516723334.79 0 0.000 0.000 78500 0 5 1 0.174 0 0.000 7.407 38006784.000 341639168.000 1516723334.583 -1.000 78500 116000 216000 316000 616000 1216000
1516723334.90 136965 3.920 513059.894 78500 0 5 1 0.174 153784 9.091 7.538 38584320.000 417423360.000 1516723334.583 1516723334.883 78500 116000 216000 316000 616000 1216000
1516723335.00 135869 3.800 513059.894 78500 0 5 1 0.174 153784 0.000 7.538 38723584.000 417423360.000 1516723334.896 1516723334.883 78500 116000 216000 316000 616000 1216000
1516723335.10 135780 3.640 513059.894 78500 0 5 1 0.174 153784 9.091 7.538 38723584.000 417423360.000 1516723334.896 1516723334.883 78500 116000 216000 316000 616000 1216000
1516723335.20 261688 7.680 537912.295 78500 0 5 1 0.174 294596 10.000 7.650 39264256.000 417423360.000 1516723335.167 1516723335.158 78500 116000 216000 316000 616000 1216000
1516723335.30 261596 7.560 537912.295 78500 0 5 1 0.174 294596 0.000 7.650 39301120.000 417423360.000 1516723335.167 1516723335.158 78500 116000 216000 316000 616000 1216000
1516723335.41 338208 11.360 450099.619 78500 0 5 1 0.174 385964 10.000 7.703 39571456.000 417423360.000 1516723335.374 1516723335.370 78500 116000 216000 316000 616000 1216000
1516723335.51 338208 11.360 450099.619 78500 0 5 1 0.174 385964 0.000 7.704 39575552.000 417423360.000 1516723335.374 1516723335.370 78500 116000 216000 316000 616000 1216000
1516723335.61 338003 11.200 450099.619 78500 0 5 1 0.174 385964 10.000 7.704 39575552.000 417423360.000 1516723335.374 1516723335.370 78500 116000 216000 316000 616000 1216000
1516723335.71 337781 11.080 450099.619 78500 0 5 1 0.174 385964 9.091 7.704 39575552.000 417423360.000 1516723335.374 1516723335.370 78500 116000 216000 316000 616000 1216000
1516723335.82 502453 15.120 534584.042 78500 0 5 1 0.174 567760 10.000 7.786 39845888.000 417579008.000 1516723335.723 1516723335.714 78500 116000 216000 316000 616000 1216000
