#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0 q4,visible=0 q5,visible=0
1516723506.98 0 0.000 0.000 78500 0 5 0 0.052 0 0.000 7.387 37699584.000 341585920.000 1516723506.876 -1.000 78500 116000 216000 316000 616000 1216000
1516723507.08 0 0.000 0.000 78500 0 5 1 0.153 0 9.091 7.418 37961728.000 341766144.000 1516723506.876 -1.000 78500 116000 216000 316000 616000 1216000
1516723507.18 136965 3.920 587540.144 78500 0 5 1 0.153 153784 10.000 7.547 38641664.000 417464320.000 1516723507.151 1516723507.138 78500 116000 216000 316000 616000 1216000
1516723507.28 135869 3.800 587540.144 78500 0 5 1 0.153 153784 0.000 7.547 38772736.000 417464320.000 1516723507.151 1516723507.138 78500 116000 216000 316000 616000 1216000
1516723507.39 135780 3.640 587540.144 78500 0 5 1 0.153 153784 20.000 7.547 38772736.000 417464320.000 1516723507.151 1516723507.138 78500 116000 216000 316000 616000 1216000
1516723507.49 261688 7.680 488523.527 78500 0 5 1 0.153 294596 0.000 7.656 39313408.000 417464320.000 1516723507.449 1516723507.439 78500 116000 216000 316000 616000 1216000
1516723507.59 261596 7.560 488523.527 78500 0 5 1 0.153 294596 0.000 7.656 39329792.000 417464320.000 1516723507.449 1516723507.439 78500 116000 216000 316000 616000 1216000
1516723507.69 338208 11.360 508960.230 78500 0 5 1 0.153 385964 10.000 7.708 39600128.000 417464320.000 1516723507.638 1516723507.628 78500 116000 216000 316000 616000 1216000
1516723507.79 338003 11.200 508960.230 78500 0 5 1 0.153 385964 10.000 7.709 39604224.000 417464320.000 1516723507.638 1516723507.628 78500 116000 216000 316000 616000 1216000
1516723507.90 338003 11.200 508960.230 78500 0 5 1 0.153 385964 0.000 7.709 39604224.000 417464320.000 1516723507.638 1516723507.628 78500 116000 216000 316000 616000 1216000
1516723508.00 502453 15.120 580411.658 78500 0 5 1 0.153 567760 10.000 7.784 39874560.000 417464320.000 1516723507.956 1516723507.951 78500 116000 216000 316000 616000 1216000
